Event index,log EMC,Total rainfall ,Event duration,Peak rainfall ,ADD,season,,
1,2.53,-0.58,-0.89,0.75,-0.76,summer,,
2,3.09,-0.91,-0.95,-0.37,0.34,summer,,
3,1.87,-0.05,1.04,1.87,-1.12,summer,,
4,1.41,0.83,0.28,0.33,-1.07,summer,,
5,1.73,-0.71,-0.96,-0.57,0.19,summer,,
6,2.64,-0.46,-1.1,2.14,-0.48,summer,,
7,2.26,-0.97,-0.52,-0.35,-0.48,summer,,
8,2.91,1.93,0.84,0.56,0.94,summer,,
9,4.81,-0.61,-0.82,-0.57,1.16,fall,,
10,4.22,1.26,0.95,-0.81,-0.24,fall,,
11,3.72,1.57,0.21,-0.57,-0.99,fall,,
12,3.58,0.28,0.56,-0.81,-0.8,fall,,
13,5.07,-0.83,2.13,-1.03,1.65,fall,,
14,4.74,-0.75,-0.77,-0.57,1.65,fall,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
